"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
3574,13,12,11,117,41.36,28.96,3.77,8.45,82.53,76,51,71,322,639,3
1722,13,14,7,117,15.68,12.76,3.79,3.29,35.52,82,73,74,709,639,3
3576,13,15,11,117,15.61,10.93,3.28,2.95,32.77,80,73,71,192,639,3
2149,3,12,5,117,11.28,9.14,6.5,2.88,29.8,89,65,76,431,639,3
3572,13,12,4,117,13.96,9.18,2.93,2.84,28.92,58,41,57,129,639,3
2152,13,15,5,117,14.44,6.94,4.7,2.24,28.32,87,80,75,594,639,3
1721,3,11,7,117,9.71,7.47,4.13,1.9,23.21,91,64,77,464,639,3
3566,13,13,11,117,8.92,8.03,3.6,2.15,22.7,80,63,68,146,639,3
1514,15,16,4,103,15,4.89,0.24,1.69,21.81,61,45,54,106,382,3
3567,13,15,11,117,9.01,8.49,2.53,1.77,21.79,80,33,65,52,639,3
1252,9,19,1,167,7.02,9.09,0.98,3.96,21.04,97,50,73,3994,775,6
1255,8,10,1,167,9.43,0.4,0.41,10.57,20.81,95,80,81,1588,775,6
340,3,11,4,117,4.74,9.2,4.16,2.04,20.15,77,58,70,50,639,3
1252,15,19,1,167,9.66,5.14,0.06,1.41,16.27,97,58,72,3711,775,6
1256,8,8,1,167,8.41,5.49,0.47,1.78,16.15,95,62,78,730,775,6
338,3,11,6,117,3.43,5.35,5.32,1.18,15.29,77,37,62,19,639,3
1241,8,7,7,150,6.85,5.09,1.87,1.16,14.98,95,54,75,314,708,3
408,15,17,9,6,9.04,4.24,0.13,1.32,14.73,88,81,25,8713,458,6
402,15,16,9,6,9.7,3.68,0.11,1.13,14.61,87,89,54,1454,973,6
403,9,18,9,6,4.99,5.73,0.65,2.42,13.79,83,21,44,922,973,6
403,15,18,9,6,8.25,4.24,0.07,1.12,13.67,83,73,39,2256,973,6
407,15,15,9,6,8.52,3.59,0.08,1.28,13.47,94,100,54,2698,457,6
408,9,17,9,6,5.54,5.73,0.49,1.57,13.32,88,39,23,5234,458,6
1250,8,7,1,167,6.99,4.51,0.3,1.3,13.1,97,56,76,664,263,6
3031,13,14,3,117,6.62,2.55,2.66,1.01,12.84,93,81,80,1662,359,7
1719,1,17,7,117,5.03,4.02,2.69,0.91,12.66,85,73,73,632,767,3
402,9,16,9,6,5.99,4.37,0.48,1.79,12.63,88,58,55,1094,973,6
1252,10,20,1,167,3.96,6.31,0.38,1.97,12.61,97,66,74,2899,775,6
106,3,11,10,117,2.5,3.45,5.33,0.86,12.13,86,57,78,242,639,3
1314,15,13,9,103,7.97,2.81,0.13,1.21,12.12,94,86,69,4100,160,6
1242,8,10,7,150,3.01,0.01,1.1,7.53,11.66,89,74,76,272,708,3
3013,13,13,5,117,6.06,3.35,1.2,0.74,11.35,97,73,80,2147,639,3
1251,15,14,1,167,6.76,3.07,0.14,1.03,11.01,98,86,70,2951,775,6
1239,7,3,7,150,4.02,3.87,2.54,0.52,10.95,96,16,78,138,708,3
3010,1,17,5,117,4.89,3,2.14,0.78,10.81,90,82,75,921,639,3
1243,9,16,7,150,2.96,4.82,0.81,2.11,10.7,84,82,66,1112,708,3
407,9,15,9,6,4.99,3.64,0.38,1.6,10.6,94,67,54,2073,457,6
1251,9,14,1,167,4.76,3.69,0.44,1.61,10.5,98,64,66,2833,775,6
405,15,19,9,6,6.73,2.56,0.04,0.91,10.25,73,29,17,2117,457,6
1488,13,17,4,182,5.95,3.11,0,1.06,10.12,74,15,69,16,987,4
2150,1,18,5,117,3.66,3.14,2.47,0.63,9.9,78,70,63,424,639,3
1321,15,16,9,103,7.04,1.95,0.08,0.79,9.86,91,99,70,2045,158,6
1076,7,3,8,150,3.01,2.47,3.28,0.96,9.72,92,20,83,1282,883,7
1316,15,18,9,103,6.65,2.28,0.04,0.74,9.71,87,87,61,3260,10,6
1240,7,5,7,150,3.88,3.42,1.69,0.5,9.49,93,23,81,135,708,7
1484,13,16,4,182,5.8,2.85,0.01,0.78,9.44,74,24,64,24,987,4
405,9,19,9,6,4.1,3.63,0.38,1.25,9.36,71,10,17,1047,457,6
399,15,13,9,6,5.93,2.36,0.13,0.9,9.31,94,70,75,1320,457,6
105,1,18,10,117,2.03,2.36,4.39,0.39,9.16,88,70,78,626,639,3
1732,3,13,4,117,4.4,1.85,1.98,0.68,8.91,72,27,69,85,430,3
3153,15,17,8,20,5.05,2.79,0.1,0.85,8.79,96,89,75,3589,105,6
1027,10,21,11,43,1.12,6.12,0.06,1.28,8.57,82,42,34,896,287,3
1312,16,10,9,103,6.82,1.53,0.05,0.08,8.49,95,91,73,1218,159,6
3570,13,16,4,117,1.75,3.47,2.49,0.67,8.38,68,42,65,54,620,3
1729,13,13,4,117,3.74,2.24,1.58,0.7,8.27,62,41,54,190,428,3
1037,9,18,1,43,1.06,5.01,0.13,1.97,8.16,88,37,57,348,305,3
1078,8,7,8,150,2.91,2.07,2.73,0.33,8.05,92,53,78,1056,883,7
3251,6,15,10,43,0.99,6.42,0,0.6,8.01,86,75,67,886,951,7
1077,7,5,8,160,2.28,1.72,3.63,0.23,7.86,90,24,77,644,883,7
2366,3,14,8,117,2.76,1.72,2.69,0.54,7.72,83,46,76,203,362,3
1254,11,11,1,167,2.9,2.81,0.24,1.73,7.69,88,65,67,451,773,6
401,10,20,9,6,2.81,3.48,0.14,1.23,7.66,83,39,48,1443,850,6
1028,10,22,11,43,0.66,5.75,0.08,1.11,7.59,85,41,41,398,290,3
3014,13,16,5,117,3.56,2.35,0.98,0.62,7.51,97,87,82,1854,640,3
410,15,14,9,6,4.81,1.88,0,0.69,7.38,84,84,67,580,973,6
236,15,17,9,43,4.46,2.11,0.06,0.69,7.32,84,57,65,2142,278,6
2126,8,9,7,43,3.27,2.83,0.08,1.02,7.2,85,33,77,171,271,3
1483,13,15,4,182,3.48,2.99,0,0.73,7.2,49,21,71,110,995,4
236,9,17,9,43,2.85,2.89,0.35,1.08,7.17,85,38,66,1761,278,6
992,10,21,8,20,2.53,3.27,0.24,1.13,7.16,87,58,56,4228,105,6
3092,7,4,3,150,3.27,2.22,1.4,0.29,7.16,96,15,82,367,608,7
3209,13,12,1,117,3.74,2.14,0.6,0.68,7.15,95,73,81,1658,639,7
531,7,4,5,150,3.68,1.75,1.42,0.28,7.13,91,12,80,432,616,3
