"carat","depth","table","price","x","y","z","cut"
0.7,61,60,2909,5.75,5.7,3.49,"Suitable"
0.79,62.1,54,3053,5.96,5.92,3.69,"Suitable"
0.7,62.2,56,3018,5.72,5.63,3.53,"Suitable"
0.72,62.7,58,2900,5.68,5.65,3.55,"Suitable"
0.8,62.1,54,3030,5.96,5.99,3.71,"Suitable"
0.78,61,55,3036,6,5.96,3.65,"Suitable"
0.6,62.5,53.7,3082,5.35,5.43,3.38,"Suitable"
0.84,63.4,55,2813,6,5.95,3.79,"Suitable"
0.7,61,58,3162,5.74,5.76,3.51,"Suitable"
0.57,60.4,57,2945,5.39,5.44,3.27,"Suitable"
0.7,63.3,56,2826,5.6,5.58,3.54,"Suitable"
0.78,62.6,57,2970,5.91,5.85,3.68,"Suitable"
0.71,63.6,58,2764,5.64,5.68,3.6,"Suitable"
0.81,61.3,57,2858,6.02,6.05,3.7,"Suitable"
0.32,61.8,55,561,4.41,4.42,2.73,"Suitable"
0.54,61.5,55,2848,5.25,5.29,3.24,"Suitable"
0.32,61.8,57,561,4.37,4.4,2.71,"Suitable"
0.71,62.4,59,3161,5.73,5.68,3.56,"Suitable"
0.24,61.3,57,559,4,4.03,2.46,"Suitable"
0.74,61.6,55,2760,5.8,5.85,3.59,"Suitable"
0.74,61.2,57,2961,5.79,5.85,3.56,"Suitable"
0.71,62.4,57,2812,5.69,5.72,3.56,"Suitable"
0.79,62.3,57,2898,5.9,5.85,3.66,"Suitable"
0.9,60.6,60,2948,6.28,6.23,3.79,"Suitable"
0.83,63.1,57,2918,5.95,5.9,3.74,"Suitable"
0.71,61.2,56,2891,5.73,5.77,3.52,"Suitable"
0.52,61.8,55,3125,5.2,5.19,3.21,"Suitable"
0.7,61.2,56,3105,5.75,5.68,3.5,"Suitable"
0.71,59.6,56,2994,5.84,5.88,3.49,"Suitable"
0.55,61.2,54,3032,5.35,5.3,3.26,"Suitable"
0.24,60.8,59,554,4.02,4,2.44,"Suitable"
0.8,62,55,2915,5.94,6.01,3.7,"Suitable"
0.7,62.5,56,3063,5.64,5.68,3.54,"Suitable"
0.76,62.4,57,3087,5.83,5.87,3.65,"Suitable"
0.72,61.1,56,2997,5.78,5.8,3.54,"Suitable"
0.71,60,57,2807,5.84,5.9,3.52,"Suitable"
0.26,62.3,57,556,4.05,4.08,2.53,"Suitable"
0.24,60.7,58,553,4.01,4.03,2.44,"Suitable"
0.71,62.1,53,2963,5.76,5.73,3.57,"Suitable"
0.31,61.4,55,559,4.38,4.41,2.69,"Suitable"
0.71,60.5,56,2823,5.77,5.73,3.47,"Suitable"
0.75,61.8,57,3048,5.78,5.81,3.58,"Suitable"
0.7,61,59,3039,5.67,5.7,3.47,"Suitable"
0.7,62.1,57,2975,5.69,5.72,3.54,"Suitable"
0.75,60.7,55,2872,5.87,5.92,3.58,"Suitable"
0.74,61.9,57,2901,5.81,5.78,3.59,"Suitable"
0.73,62.6,60,2826,5.75,5.68,3.58,"Suitable"
0.71,62.1,58,2801,5.7,5.67,3.53,"Suitable"
0.25,61.5,56,560,4.04,4.06,2.48,"Suitable"
0.32,63,57,561,4.32,4.35,2.73,"Suitable"
0.73,61.4,59,2770,5.83,5.76,3.56,"Suitable"
0.77,62.2,56,3148,5.9,5.85,3.66,"Suitable"
0.7,61.4,59,2858,5.73,5.7,3.51,"Suitable"
0.72,60.1,63,3024,5.86,5.82,3.51,"Suitable"
0.8,61.2,53,2867,6.05,5.98,3.68,"Suitable"
0.71,62.2,59,2825,5.73,5.66,3.54,"Suitable"
1.2,60.3,58,3091,6.82,6.77,4.1,"Suitable"
0.7,59.6,61,2859,5.8,5.77,3.45,"Suitable"
0.77,60.7,55,2834,6.01,5.95,3.63,"Suitable"
0.82,62.5,57,2832,5.91,5.97,3.71,"Suitable"
