"Office","State","District","City","Party","Spent","Received","Debt","Contribution","Win"
"H","GA",12,"AUGUSTA","REP",1094022.76,978518.98,1125000,1074949.5,"Yes"
"H","FL",4,"JACKSONVILLE","REP",711287.85,675642.76,60000,650855.38,"Yes"
"H","CA",13,"OAKLAND","DEM",1209811.57,1112163.94,4401.75,1205863.61,"Yes"
"H","ME",1,"NORTH HAVEN","DEM",575086.98,243655.52,20000,573557.98,"Yes"
"H","FL",1,"FORT WALTON BEACH","REP",1067163.89,1021759.23,120000,952163.89,"Yes"
"H","MO",3,"ST ELIZABETH","REP",1834188.31,858354.38,1050000,1809804.99,"Yes"
"H","FL",19,"TAMPA","REP",5004298.85,4722777.88,450000,4554012.5,"Yes"
"H","MO",6,"TARKIO","REP",1463278.61,1279592.77,5522.41,1422218.45,"Yes"
"H","DE",0,"WILMINGTON","DEM",1373250.58,1163965.1,310600,908738.58,"Yes"
"H","IL",7,"CHICAGO","DEM",505137.99,498709.8,58954.71,505107.32,"Yes"
"H","FL",2,"TALLAHASSEE","REP",1894525.52,1810067.89,294601.3,1299519.52,"Yes"
"H","NC",11,"HENDERSONVILLE","REP",583256.41,530763.44,100500,580005.32,"Yes"
"H","WI",8,"GREEN BAY","REP",2389320.14,1974232.25,13131.54,2389320.14,"Yes"
"H","MD",5,"WASHINGTON","DEM",3550021.94,3515306.63,1337.89,3287891.58,"Yes"
"H","OH",16,"WADSWORTH","REP",1976931.07,1276242.44,249073.96,1951781.39,"Yes"
"H","CA",18,"SACRAMENTO","DEM",1286712.18,1140822.38,6463.5,1283387.57,"Yes"
"H","OH",8,"TROY","REP",940065.93,798275.07,250000,686496.78,"Yes"
"H","NC",2,"RALEIGH","REP",2631853.64,2613272.1,234300,2529595.6,"Yes"
"H","MD",4,"BOWIE","DEM",1571584.57,1361852.66,51000,1162306.44,"Yes"
"H","PA",12,"SEWICKLEY","REP",1594954.75,1454905.03,194822.54,1495423.71,"Yes"
"H","KY",1,"TOMPKINSVILLE","REP",1066305.46,928011.79,1e+05,964432.08,"Yes"
"H","OH",14,"NOVELTY","REP",2020065.84,1857857.07,25000,2020065.84,"Yes"
"H","GA",4,"DECATUR","DEM",451516.11,408975.32,6211.2,451286.69,"Yes"
"H","MI",10,"DRYDEN","REP",3880048.12,3739795.26,3132610,745418.45,"Yes"
"H","CA",14,"BURLINGAME","DEM",828328.53,576794.76,2490.65,823026.64,"Yes"
"H","FL",6,"PONTE VEDRA BEACH","REP",4909124.13,3707018.82,938.75,4799868.04,"Yes"
